NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-19.595,-17.089,-21.437,-9.1388,5.5281,8.2242,14.594,11.551,2.7499,-2.9677,-10.72,-27.019
2007,-27.168,-27.576,-18.955,-4.6783,4.1587,9.7662,13.479,11.504,6.0087,-2.3776,-14.329,-24.97
2008,-28.157,-20.543,-10.95,-4.2469,11.341,13.363,14.787,13.141,6.3855,-3.4592,-13.398,-20.196
2009,-23.826,-29.009,-15.873,-8.1461,4.2774,12.482,12.95,12.145,8.3907,-0.28802,-15.165,-21.806
2010,-20.644,-27.831,-17.577,-5.7617,7.1324,12.639,15.728,11.609,8.3209,-0.55005,-11.582,-19.163
2011,-29.269,-28.137,-18.113,-8.227,5.5288,13.19,13.908,13.328,7.2245,-3.085,-10.327,-18.508
2012,-24.773,-26.813,-17.746,-6.0072,6.9022,10.195,12.012,11.835,8.2668,0.98297,-19.426,-33.324
2013,-27.017,-21.905,-15.425,-7.6115,2.0835,10.173,13.809,11.348,5.562,-5.5611,-18.221,-17.198
2014,-18.088,-28.69,-12.881,-3.4146,7.3073,10.762,13.475,6.7321,6.0164,-1.6973,-14.01,-19.162
2015,-24.853,-25.282,-15.101,-1.3263,8.968,12.762,15.223,15.412,3.7305,-3.7004,-13.002,-27.101
2016,-23.996,-14.696,-9.4057,-5.9672,6.0835,13.767,15.267,13.113,7.9465,0.46725,-13.233,-22.873
2017,-27.116,-23.294,-9.9537,-6.6821,5.4489,15.975,19.964,14.221,5.222,-2.2166,-8.82,-22.523
2018,-25.966,-31.469,-14.985,-6.6763,6.6742,10.811,12.817,13.948,5.0157,-3.5506,-11.941,-17.746
2019,-28.272,-30.949,-20.257,-10.772,3.5961,7.9215,13.679,8.2016,3.7117,-0.91888,-12.209,-22.874
2020,-26.201,-23.634,-14.533,-0.35828,11.32,13.897,15.598,13.416,5.7824,-5.9529,-12.747,-20.167
2021,-26.248,-16.693,-8.8051,-4.9375,7.5316,10.392,15.537,13.789,6.8352,-2.8913,-10.938,-19.036
2022,-22.743,-21.69,-13.158,-5.4737,3.6375,13.453,14.48,9.1484,3.562,-6.3627,-12.281,-24.916
2023,-29.541,-25.06,-14.878,-6.5899,4.5334,11.845,16.341,16.611,4.0215,-1.8703,-7.6515,-23.431
2024,-29.002,-23.29,-10.498,-7.6053,1.9886,11.031,15.488,10.545,4.7621,-4.8984,-16.182,-26.234
2025,-27.86,-24.45,-10.744,-3.3372,7.6781,11.161,18.065,13.468,2.2424,-1.3811,-19.57,-19.409
2026,-23.276,-24.252,-15.535,-5.2307,8.4653,16.686,20.312,12.769,6.2911,-3.7372,-7.9285,-24.989
2027,-22.744,-21.67,-13.958,-5.807,6.3885,12.243,15.399,14.54,6.8374,-4.2125,-15.432,-25.323
2028,-27.199,-23.739,-10.701,-0.064667,8.3883,13.81,16.476,13.04,5.5181,-2.5555,-11.856,-16.808
2029,-25.959,-25.731,-12.844,0.61328,7.47,13.692,13.885,11.625,6.7942,-3.2623,-17.546,-20.97
2030,-27.955,-30.235,-14.452,-3.8181,5.3359,9.0074,12.364,9.1829,2.7405,-4.8661,-17.398,-19.536
2031,-21.387,-21.502,-17.757,-5.9707,5.3868,12.543,14.375,13.19,5.5242,-1.0482,-14.794,-18.207
2032,-21.917,-28.055,-14.137,-3.8284,7.8058,13.305,15.978,11.025,5.5056,-2.7566,-12.482,-23.923
2033,-27.424,-25.349,-13.604,-4.2666,7.7561,15.716,18.228,15.521,3.291,-3.3475,-10.49,-17.888
2034,-26.253,-16.325,-11.258,2.499,10.11,13.25,15.188,14.58,7.6048,-2.1908,-7.1164,-16.753
2035,-21.267,-26.59,-11.954,-3.7357,6.1494,12.716,16.102,13.159,4.7302,-1.4392,-15.403,-23.564
2036,-26.214,-20.634,-19.652,-3.0155,7.2068,14.869,15.98,13.098,6.506,-1.7808,-12.454,-23.534
2037,-31.558,-27.939,-9.691,-2.2866,6.3452,12.002,13.839,11.682,5.3447,-0.83966,-9.6714,-25.813
2038,-29.031,-26.37,-11.411,-0.60474,3.7676,10.953,16.734,14.319,5.4421,-1.086,-13.787,-24.078
2039,-16.562,-19.37,-15.443,1.713,6.6483,10.852,14.437,10.591,4.7538,-3.6294,-10.182,-13.889
2040,-27.356,-17.427,-17.625,-1.0612,8.8886,10.646,15.478,16.159,8.9703,0.50482,-8.6287,-19.657
2041,-26.838,-23.413,-11.864,-2.1763,7.8337,12.622,17.211,11.901,5.888,-2.5447,-13.781,-22.472
2042,-27.001,-23.023,-19.678,-2.6721,6.6557,14.384,17.815,14.819,4.9562,2.5538,-9.562,-17.209
2043,-18.769,-18.968,-10.088,2.1698,10.825,15.347,18.537,15.784,7.2612,-2.0926,-6.9272,-13.801
