NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-12.86,-8.9284,1.2197,4.5995,12.225,14.218,17.014,17.686,10.693,8.6592,2.8624,-8.7554
2007,-9.7516,-8.4877,1.7049,11.511,12.614,16.182,18.261,16.289,13.466,7.1381,0.21021,-7.1342
2008,-11.795,-4.9041,0.03479,5.0343,15.809,15.361,17.27,16.127,12.967,3.0095,-5.5229,-9.8401
2009,-10.925,-7.7279,-0.92749,4.1508,12.557,15.703,18.079,17.664,14.553,8.419,-1.4929,-11.631
2010,-7.0722,-5.4263,0.84894,7.7989,13.951,14.924,19.166,18.361,12.42,7.282,-4.5957,-12.009
2011,-6.4272,-8.7644,-7.3488,5.8648,10.304,13.23,15.381,17.475,14.322,4.7627,0.70816,-6.514
2012,-10.484,-13.7,-5.848,6.8658,14.207,16.031,17.391,17.292,15.769,9.7974,-3.2581,-20.609
2013,-10.458,-6.2883,-0.33545,5.0252,13.871,16.755,19.352,17.393,13.992,6.7885,-2.573,-8.8112
2014,-2.6837,-4.8927,5.7462,9.2572,14.751,19.106,17.511,17.025,15.196,8.4081,-0.14914,-3.5717
2015,-10.924,-8.5792,2.6725,6.2597,10.577,15.817,18.633,16.703,14.033,7.3777,-0.21442,-6.9097
2016,-6.4925,-3.928,3.7368,5.2457,10.669,16.964,19.588,16.793,15.236,5.5219,-0.1546,-4.6975
2017,-10.584,-11.007,3.5404,3.6675,9.5817,16.307,20.81,18.516,15.117,8.8361,3.4046,-7.8438
2018,-6.22,-6.1307,5.4645,8.8315,12.577,16.387,17.17,18.681,14.76,6.4709,1.0726,0.36176
2019,-11.97,-16.492,-3.9994,4.7106,12.553,16.713,19.403,16.239,11.739,10.45,0.51773,-10.991
2020,-17.035,-10.351,-2.6015,8.9913,14.085,17.94,19.78,17.652,14.527,6.6624,-0.2016,-5.1786
2021,-9.4256,-6.0622,7.4879,7.5996,16.864,15.357,18.955,17.994,13.712,4.4427,0.55441,-11.442
2022,-13.499,-6.1449,1.5585,4.6591,11.262,14.869,17.86,18.551,15.439,4.5045,0.49658,-2.3597
2023,-12.748,-15.59,-5.3795,6.9297,11.522,14.626,20.455,18.455,13.059,6.6785,0.3407,-6.8528
2024,-9.7033,-9.0846,5.4182,3.4064,12.858,16.377,20.822,16.713,10.94,6.752,-2.4356,-14.277
2025,-12.881,-10.655,0.93536,8.6531,15.866,15.434,17.732,16.478,10.246,4.4138,-4.9862,-7.2367
2026,-17.522,-9.1274,-0.42542,5.3122,11.889,17.165,18.49,18.204,14.096,7.7413,-4.1042,-11.964
2027,-12.236,-9.4493,3.4818,8.3727,8.6092,15.188,20.706,18.262,15.49,4.727,-4.6699,-8.1511
2028,-12.594,-11.339,0.058533,6.7322,14.218,16.023,19.24,18.867,16.213,9.718,-1.0029,-5.8431
2029,-14.068,-10.123,0.7735,10.031,13.167,16.717,20.723,18.623,16.072,7.8666,-0.63037,-5.6515
2030,-10.385,-13.922,-5.9641,8.8557,13.781,17.505,20.304,18.281,14.401,6.1652,-4.337,-4.9852
2031,-7.8387,0.14856,-2.6553,3.0938,9.4669,19.168,20.598,19.936,14.895,9.4264,-0.4502,-6.6956
2032,-14.044,-9.2584,-3.6895,7.1814,13.882,15.813,19.521,16.892,13.258,8.0598,1.3993,-9.4934
2033,-14.348,-8.5067,1.369,6.4678,13.117,17.712,19.548,19.037,13.846,6.215,0.8537,-4.5438
2034,-11.061,-0.84695,1.7033,10.343,14.729,18.273,19.95,18.179,16.572,7.8717,3.0789,-5.3433
2035,-8.0401,-6.8044,3.5425,8.7701,13.767,15.784,19.192,19.94,13.953,7.3615,1.4467,-7.5273
2036,-14.227,-15.806,-3.1538,6.8947,10.529,18.72,19.937,20.395,14.342,7.4184,-0.014648,-5.9848
2037,-10.25,-7.0254,4.0375,3.733,10.656,17.754,20.292,17.717,12.394,8.2385,-3.0757,-13.384
