NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-12.731,-19.51,-25.286,-11.229,1.8718,7.8296,12.057,8.8615,2.9628,-3.8935,-11.349,-13.71
2007,-25.271,-28.267,-21.397,-12.223,-2.2104,5.731,10.368,5.6329,1.7665,-4.069,-16.534,-22.017
2008,-26.067,-29.758,-13.295,-7.8934,-0.37805,12.345,11.647,7.9184,1.4362,-4.5432,-10.308,-13.924
2009,-15.703,-27.15,-19.404,-6.7086,2.67,11.349,13.232,7.7405,2.0899,-4.3329,-8.778,-18.726
2010,-20.559,-29.571,-23.71,-9.4921,2.3375,8.5298,8.4333,4.4741,3.1431,-2.2981,-10.41,-7.9384
2011,-27.789,-27.718,-21.437,-9.2309,-0.053223,9.7589,10.428,9.2034,1.2694,-3.9561,-14.733,-21.547
2012,-17.84,-18.631,-20.16,-10.054,1.5506,7.5052,10.223,7.0085,1.0929,-5.3061,-19.246,-24.4
2013,-26.458,-21.54,-13.191,-6.4533,0.98196,9.3506,9.5825,7.967,3.689,-6.317,-16.438,-14.657
2014,-16.283,-19.848,-7.5429,-2.4225,4.9499,10.36,12.929,10.886,4.8836,-3.8204,-11.563,-15.964
2015,-17.635,-21.413,-12.171,-4.131,4.845,9.963,11.375,8.6976,1.002,-4.2746,-13.861,-17.949
2016,-25.283,-21.299,-13.968,-7.4594,3.2124,10.072,14.529,10.775,0.61255,-7.023,-17.403,-24.426
2017,-21.086,-25.175,-13.794,-7.4829,2.029,9.4597,10.462,7.0846,1.7631,-5.9764,-15.058,-19.604
2018,-16.579,-26.783,-19.457,-5.9713,3.9476,7.6568,8.7835,6.5715,2.1935,-2.6072,-10.42,-22.658
2019,-17.343,-27.881,-15.89,-7.4378,0.25043,6.8473,9.9757,5.2953,2.9969,-5.913,-11.525,-18.388
2020,-18.988,-23.165,-9.7011,-5.9969,3.673,11.183,11.166,8.0449,1.6594,-7.7908,-12.854,-17.444
2021,-16.517,-7.8317,-7.8949,-3.2812,3.309,9.2378,8.1955,8.5273,4.6223,-4.7741,-16.723,-7.6
2022,-19.071,-26.715,-18.553,-6.6768,4.3074,10.91,13.519,7.5937,1.4683,-4.3217,-10.328,-31.655
2023,-28.338,-15.279,-18.573,-9.6914,2.9475,10.659,9.4293,7.2342,3.4337,-2.6476,-13.177,-27.866
2024,-20.623,-24.003,-15.935,-5.5779,1.1077,8.0803,12.705,7.7307,3.0512,-12.35,-14.145,-24.181
2025,-22.699,-20.003,-10.524,-3.5715,1.6546,9.7367,11.438,8.63,4.0706,-4.5139,-18.57,-18.313
2026,-18.141,-25.784,-17.425,-8.0276,0.89886,12.048,13.068,9.265,5.5314,-3.8564,-10.27,-18.829
2027,-20.663,-21.156,-15.589,-6.557,2.1463,10.255,10.077,7.9851,2.5757,-6.3707,-13.969,-19.901
2028,-22.59,-17.501,-14.426,-6.8498,2.8961,10.414,9.7633,8.5658,3.3365,-8.7918,-13.847,-16.314
2029,-15.302,-29.629,-17.807,-4.8066,3.0051,8.3986,10.948,6.6757,3.4993,-6.4576,-18.052,-20.333
2030,-26.869,-27.149,-18.671,-7.822,2.1972,8.8277,7.1769,5.7708,0.84207,-5.8075,-18.98,-20.694
2031,-21.54,-29.664,-19.355,-9.6699,1.5372,9.5484,8.9594,6.5354,1.3309,-7.0326,-13.935,-15.602
2032,-25.011,-31.745,-11.613,-7.9377,6.6008,9.1529,10.001,7.3859,4.279,-6.075,-13.485,-15.865
2033,-20.855,-20.567,-11.274,-3.4717,7.0237,11.228,11.853,8.6968,1.6914,-4.0175,-10.521,-13.952
2034,-19.483,-16.671,-14.109,-3.3428,5.0984,9.3845,11.151,10.646,3.2962,-1.9896,-8.925,-11.898
2035,-19.78,-24.92,-16.434,-9.6361,1.2451,7.3878,8.9009,7.1375,2.3122,-5.7166,-17.616,-14.469
2036,-17.528,-14.345,-23.062,-6.3788,1.8143,8.8218,13.775,8.6041,1.3849,-5.6617,-14.081,-21.596
2037,-24.113,-15.906,-16.544,-4.8608,5.4644,9.9595,8.247,9.4789,5.542,-2.3768,-4.8179,-17.96
2038,-31.781,-22.214,-15.093,-5.6008,5.8438,13.447,9.8275,7.6059,0.75266,-1.6466,-11.873,-14.516
2039,-12.791,-16.057,-12.898,-1.5585,6.7616,9.4169,11.908,8.5538,1.2167,-2.0767,-10.016,-13.576
2040,-23.878,-19.011,-20.499,-4.9069,4.1445,8.9097,7.1012,7.8421,3.5348,-2.8428,-9.9588,-23.007
2041,-23.489,-14.47,-13.825,-8.0572,4.3415,9.431,11.612,7.2589,2.0599,-4.1013,-11.618,-21.019
