NaN,1,2,3,4,5,6,7,8,9,10,11,12
2035,-1.7628,-4.2888,-1.7778,1.4049,6.7236,10.431,15.647,14.098,10.189,3.5276,0.27869,-6.5801
2036,-9.696,-9.2731,-1.0112,3.8282,7.2928,15.371,13.695,13.686,8.799,4.7348,-1.5967,-5.3871
2037,-10.306,-5.1387,-3.2789,3.3443,8.1831,12.049,15.501,14.348,14.845,5.8928,-1.5894,-8.0145
2038,-7.4239,-3.9832,-2.4291,2.6746,6.6406,10.841,15.222,15.633,6.7448,5.8632,0.32816,-7.9944
2039,0.82648,-0.43024,0.33875,8.4513,9.0839,9.7607,12.217,14.267,10.842,5.7944,-0.69208,-1.6954
2040,-4.8307,-3.8043,-1.5649,3.2689,10.004,12.832,18.22,17.883,10.611,4.5165,-0.2283,-2.241
2041,0.54843,-1.4131,0.48767,3.1459,10.353,17.107,14.02,17.136,11.853,3.9534,-2.9505,-8.0365
2042,-4.9658,-5.3177,1.6483,6.3728,11.898,13.607,15.25,16.285,9.1476,7.5245,1.3853,-0.87152
2043,-6.2806,-0.67303,0.41803,6.5272,8.6468,12.585,15.109,13.312,13.427,8.3625,2.8638,-1.6409
2044,-5.7067,-5.2686,-4.2117,1.8225,8.0937,16.454,14.319,15.329,10.86,6.4023,0.96347,-2.0837
2045,-1.1702,-2.0635,1.0884,4.2507,10.24,11.831,13.239,16.089,9.5851,4.4547,-0.98343,-4.79
2046,-4.5009,-8.5064,-0.31592,5.0297,11.203,13.018,15.462,17.937,12.684,5.6538,-0.5658,-5.2274
2047,-4.9496,-1.9777,1.269,8.8665,11.461,12.211,14.396,12.256,9.6346,4.3913,-0.50012,-4.9583
2048,-2.1811,0.81079,1.4146,4.4515,7.1233,13.749,12.914,13.396,9.9609,5.2692,1.0283,-4.1054
2049,-4.5103,-2.1482,-3.5274,4.782,10.874,9.7519,14.09,17.241,8.4543,6.931,-1.8368,-7.265
2050,-7.3628,-5.49,-0.012787,4.9061,7.4752,13.253,12.955,11.585,11.088,4.8642,-3.1297,-2.188
2051,-5.207,-8.5685,0.5481,1.1996,10.067,13.029,13.196,17.476,11.57,5.3026,1.88,0.39111
2052,-1.9718,-3.1035,0.42758,5.2493,10.332,10.488,14.567,15.584,13.674,6.427,-3.2109,-3.3796
2053,-2.6359,-1.5572,-2.1165,3.9328,9.7841,12.603,12.895,16.159,9.593,3.6669,1.946,-3.3791
2054,-5.9042,-1.8305,0.20801,6.5353,12.137,13.165,15.961,13.858,10.491,6.3937,2.6789,0.43402
2055,-5.8663,-5.6772,2.5142,6.725,12.294,17.388,17.383,20.246,13.798,5.9357,-0.036072,1.5682
2056,-2.949,-0.98785,0.26425,3.9424,10.881,15.184,18.416,15.377,12.057,5.8483,-0.18719,-0.41437
2057,-3.0109,-4.5746,0.44379,5.1909,9.6541,16.76,18.353,18.512,10.974,3.7602,1.0737,-2.2622
2058,-1.9072,-2.3198,2.4604,4.9095,8.1174,13.755,17.276,18.482,10.435,6.0466,-1.0925,-1.7072
2059,-9.1029,-3.0884,0.97888,4.0596,10.538,12.474,16.655,15.495,11.04,6.8099,-0.33533,0.74396
2060,0.50665,-1.4922,0.62512,4.1607,8.0355,13.265,16.802,17.125,9.6297,4.7472,-1.4521,-4.1184
2061,-5.1201,-5.0543,-0.79651,5.069,11.286,11.532,12.614,12.812,9.0057,7.6571,0.76041,-4.6686
2062,-4.1722,0.99313,1.2908,5.6262,7.3259,12.807,15.643,16.616,11.694,6.2405,1.8928,-6.4943
2063,-3.7006,-0.52917,-0.104,6.841,8.7855,15.253,14.17,16.451,15.738,6.3281,1.0812,-0.084198
2064,-4.8994,-2.5646,1.3795,6.3384,7.8737,9.6926,14.065,17.231,10.435,5.4034,1.2119,-5.9724
2065,-4.8793,-4.0153,-2.327,4.365,9.299,10.337,14.259,14.909,12.441,6.8279,0.5415,-9.8242
2066,-7.7841,-6.3948,-3.2473,4.3909,7.5386,16.284,17.658,19.31,12.739,5.7476,-0.60193,-5.7016
2067,-5.3294,1.9593,0.28024,4.0425,8.9071,13.092,13.893,13.775,12.171,6.0865,-2.0651,-3.8834
2068,-0.086304,1.879,6.8616,7.2581,8.6745,19.782,17.25,16.177,9.7171,4.3846,2.699,-3.5316
2069,-0.14594,3.4554,5.5367,9.7485,10.511,14.466,14.727,15.147,11.41,6.5898,3.8242,2.35
2070,-1.1153,-4.7103,0.73486,3.4277,9.0663,14.184,18.334,19.378,15.929,7.1422,2.3628,0.48328
2071,-1.9038,0.63574,0.32892,5.2871,8.0943,17.178,17.867,18.163,14.357,7.7674,2.2181,-5.7477
2072,-10.28,-8.9727,1.9103,8.2894,10.067,13.739,13.939,16.657,8.8936,6.8771,1.5115,-0.084808
2073,-0.31342,2.0467,4.6105,6.8141,9.8723,15.274,16.226,16.223,11.373,5.0854,-0.91046,-8.3967
2074,-2.438,2.8539,1.6786,4.7301,11.696,14.709,15.989,15.815,12.667,7.1526,-0.18591,0.86847
2075,0.62988,1.8151,1.8208,3.4276,12.791,13.624,16.352,14.745,10.353,4.7329,-0.034485,2.4764
2076,-2.3451,0.6347,4.5035,8.5534,10.431,17.804,16.825,17.84,12.508,7.8044,3.5847,-1.612
2077,-1.4919,-3.3727,1.6063,6.4515,12.515,15.368,19.172,16.751,12.611,6.0881,1.3209,-0.20642
2078,0.69476,1.7418,4.6623,6.6523,9.6496,10.103,13.917,16.042,11.02,6.4333,1.524,-1.9668
2079,-4.5266,-2.8458,4.8846,4.654,9.5548,12.781,17.763,15.752,13.473,9.1054,2.3882,-2.7211
2080,-5.3859,1.529,1.7971,5.2216,7.6283,14.477,16.894,17.483,13.052,6.4392,1.8426,-1.1426
2081,-3.8934,-2.1702,4.7104,6.4166,9.8021,12.87,15.145,17.422,11.426,6.21,-0.10199,-0.81931
2082,0.39896,-2.2377,3.1096,6.0793,9.3543,16.18,17.15,17.587,14.223,9.0896,2.9095,-0.65762
2083,-5.7916,-0.69275,4.4641,7.3001,9.1679,13.683,14.687,16.587,13.046,6.2478,2.5281,3.2123
2084,-3.8803,2.2928,5.585,7.723,9.9778,11.542,15.585,18.253,11.342,7.0496,2.1406,-4.9502
2085,-6.082,-0.81772,1.415,5.7084,9.4453,16.844,19.641,14.682,12.254,6.1946,1.849,-5.7095
2086,-8.0331,-4.9617,1.4299,5.388,13.179,12.746,16.877,16.969,15.69,5.7657,3.3619,-1.6069
2087,0.49341,3.9351,4.1047,7.0028,11.868,14.196,19.479,20.979,12.652,7.6937,1.1589,0.96207
2088,-1.4245,0.32297,2.4073,6.8006,13.878,16.185,19.383,17.562,11.96,8.0743,1.1049,-2.6944
2089,0.19928,0.73148,5.897,7.3228,13.215,12.744,18.977,19.822,15.628,7.7205,3.2997,-2.5372
2090,-8.6956,0.45389,4.8417,7.5593,10.493,13.906,20.467,17.795,11.743,7.1263,3.7065,-4.6746
2091,-3.3921,2.3684,4.2111,6.5773,10.076,15.402,18.954,19.615,13.939,8.5812,4.5686,-1.4982
2092,-1.9778,2.4592,4.5356,7.6301,12.139,15.867,20.209,19.866,12.923,5.9778,2.1281,1.3577
2093,-2.6296,1.475,5.1178,8.5243,10.429,13.471,20.753,16.331,17.19,8.3353,2.4724,2.6037
2094,0.82056,1.911,5.084,5.3047,7.3266,11.493,17.215,17.394,14.668,8.2091,2.7396,-2.864
2095,-2.2972,-4.1957,1.8071,3.1888,11.753,13.579,17.057,16.959,16.441,9.6001,2.2108,-0.14197
2096,-2.2701,-2.7639,0.37091,6.0775,16.355,18.248,20.516,17.7,15.345,7.0303,2.5485,2.6956
2097,-1.8569,-1.171,2.7671,7.0497,9.6724,16.936,19.59,17.459,14.61,9.4557,1.6276,-5.2031
2098,-4.95,0.46353,-2.583,6.1704,7.2116,11.972,19.946,18.52,12.377,8.5085,1.4052,-0.58575
2099,-2.5725,-2.6962,2.144,5.8739,9.6585,13.204,18.201,20.541,12.834,8.784,3.5232,-2.4475
2100,-3.0911,1.5583,3.8556,7.6395,11.553,16.224,18.854,19.475,14.015,6.1476,4.7642,-0.76031
