NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-9.3623,-3.5593,-3.5537,2.6269,10.694,10.185,13.369,14.541,8.1015,7.6807,0.26471,-6.7183
2007,-6.8552,-9.2455,-3.0998,0.83347,6.272,11.09,12.841,13.205,9.124,4.9955,-0.96362,-5.0542
2008,-6.0904,-3.1092,-0.85388,1.8507,10.061,12.693,12.863,11.956,9.1159,2.6833,-5.7964,-4.8772
2009,-7.6754,-3.9779,-0.58569,5.3813,9.6544,9.9428,13.062,13.151,8.3145,3.7139,0.60675,-7.6579
2010,-3.2304,-7.4654,-2.3679,1.3516,5.6578,12.176,14.058,13.251,10.829,5.991,-3.4375,-8.3212
2011,-4.3667,-5.5281,-2.6731,1.2027,5.5933,11.095,12.428,10.571,8.8241,5.0146,-0.030121,-1.4711
2012,-6.4764,-5.3422,-3.5531,0.41272,7.1912,12.257,13.727,13.829,10.48,4.2877,-3.2093,-16.029
2013,-7.7395,-7.3039,0.69189,4.6658,6.4292,13.347,12.616,13.41,10.865,2.517,-0.73315,-5.1276
2014,0.29285,0.57019,4.42,6.3647,6.4011,9.4145,14.907,13.568,11.065,4.6015,-0.094452,-3.3901
2015,-5.0722,-0.98737,1.1744,3.914,8.4173,9.0529,13.371,14.889,9.3613,4.0145,0.16058,-2.1343
2016,-2.0784,-2.9671,0.522,3.8844,11.255,14.326,12.541,13.992,8.6125,3.52,-0.86359,-5.1018
2017,-7.0044,-3.5771,-1.7526,0.80811,5.8356,9.4011,17.228,16.426,8.099,3.3986,1.0746,-6.3398
2018,-2.5247,-8.1463,-1.7133,5.6733,8.3031,9.8521,14.164,13.722,7.9904,6.2561,1.5901,-1.2711
2019,-7.1394,-11.125,-2.1225,4.2302,5.2075,10.556,14.087,13.791,7.6727,4.3585,0.51382,-6.3586
2020,-6.6264,-3.5384,-0.5097,3.0265,7.1555,12.323,13.678,15.859,8.6223,5.0022,-1.2719,-0.50677
2021,-0.22446,0.9183,2.3746,4.4434,11.647,10.746,14.34,16.045,11.286,4.429,2.2087,-7.1977
2022,-7.2564,-3.6039,-2.2462,2.7822,8.3679,13.732,15.72,14.338,9.23,5.6686,-0.026855,-1.975
2023,-7.0081,-7.9743,-2.4323,2.7441,5.9553,11.444,14.66,17.365,9.0489,4.0027,2.6122,-3.0969
2024,-5.8478,-5.5826,-1.0076,3.006,7.2991,9.133,13.201,12.444,10.122,1.8047,-3.666,-14.586
2025,-9.7132,-7.1882,0.14825,6.3796,10.705,10.795,12.832,11.997,6.5608,3.1326,-6.4628,-3.8734
2026,-6.6316,-5.0024,-4.2418,2.0896,9.7836,12.159,12.627,12.349,10.877,6.5518,-0.65503,-10.089
2027,-4.9525,-0.78915,3.7415,5.2262,8.1267,13.399,16.233,14.282,8.7241,4.3832,-0.19916,-4.5867
2028,-7.4295,-7.5672,-2.3087,2.6619,6.2828,11.527,11.83,13.285,8.5669,2.7043,-1.8916,-4.0658
2029,-6.2828,-4.2913,-4.3847,2.1582,6.2063,10.092,10.397,12.424,8.0247,4.0873,-2.312,-6.6808
2030,-6.5526,-8.065,-5.7082,1.5315,6.7343,11.556,12.267,14.913,8.719,1.5402,-3.63,-5.5145
2031,-8.1785,-2.6034,-2.9776,-1.918,9.5685,7.7066,13.495,14.03,7.827,4.4948,0.42676,-3.178
2032,-8.3289,-3.8893,-4.7207,0.27905,6.5637,15.2,12.046,13.905,10.351,1.9094,-1.4972,-7.2415
2033,-2.3359,-6.4169,3.7284,6.0889,9.3264,13.951,15.851,13.244,10.607,5.2579,1.7424,-5.3641
2034,-4.3307,0.93625,0.63495,6.4384,9.9109,11.455,14.926,17.39,13.566,6.2057,1.9129,-4.4722
