NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-32.808,-37.79,-35.856,-20.705,-7.6946,-1.645,1.3066,-2.3749,-9.4415,-19.224,-28.858,-35.072
2007,-32.609,-31.828,-35.961,-20.989,-10.382,-1.9272,2.8309,-1.1112,-8.2803,-20.622,-26.862,-36.199
2008,-33.085,-35.828,-34.157,-18.727,-8.0753,-2.5394,0.32632,-1.5679,-9.7845,-18.108,-28.648,-32.893
2009,-37.769,-38.046,-34.246,-21.132,-8.8828,-2.4654,3.6749,-1.611,-5.3417,-17.608,-24.866,-31.826
2010,-34.877,-36.038,-39.04,-24.746,-9.6899,-1.1518,1.7633,0.30811,-8.267,-17.784,-23.445,-32.007
2011,-36.867,-39.794,-32.296,-21.647,-13.612,-3.2529,1.9355,0.19556,-10.854,-19.802,-25.598,-34.674
2012,-31.394,-33.844,-32.407,-20.439,-11.487,-0.66467,0.12689,-1.9817,-10.233,-17.878,-31.502,-34.767
2013,-37.616,-36.599,-31.115,-22.916,-9.5161,-3.3154,2.0181,-1.6052,-10.59,-20.26,-27.311,-30.565
2014,-35.045,-33.322,-33.738,-22.018,-11.851,-2.3609,9.663,0.67157,-7.6789,-20.316,-25.889,-28.956
2015,-33.662,-33.839,-30.802,-20.225,-9.1159,-2.6307,3.7641,-1.9333,-7.4629,-19.466,-26.857,-35.49
2016,-35.242,-38.168,-37.79,-22.627,-11.473,-3.5532,3.2594,0.90237,-8.9167,-19.519,-21.323,-31.828
2017,-35.309,-38.265,-33.872,-22.135,-8.9105,-0.76883,1.7358,0.95959,-8.7897,-20.617,-27.97,-30.836
2018,-32.363,-39.639,-29.881,-20.702,-8.193,-3.351,0.26593,-1.446,-10.613,-20.164,-25.974,-33.65
2019,-32.214,-39.266,-33.349,-21.787,-9.5836,-1.3617,3.5577,0.51215,-7.3449,-20.243,-26.676,-36.71
2020,-30.915,-33.697,-31.525,-17.341,-9.7274,-0.1319,3.3538,0.27734,-6.8367,-16.935,-29.18,-36.362
2021,-35.635,-39.322,-31.975,-23.287,-11.291,-3.1451,0.11154,-2.1075,-9.0222,-21.169,-20.977,-31.397
2022,-31.919,-33.245,-31.734,-21.944,-10.693,-2.9435,1.8155,-1.2168,-13.917,-18.804,-22.732,-27.543
2023,-39.266,-38.392,-34.003,-22.389,-7.8083,-1.2842,3.3687,-2.0353,-8.0429,-15.017,-20.306,-27.173
2024,-32.545,-33.881,-32.916,-22.605,-10.644,-2.908,1.0858,-0.62476,-7.9,-21.687,-26.855,-30.076
2025,-35.366,-35.706,-29.004,-19.611,-9.7575,-3.0621,-0.84174,-2.4618,-11.164,-18.246,-21.648,-30.268
2026,-30.251,-35.079,-34.998,-21.239,-8.9957,-1.632,0.76147,-2.1002,-9.0116,-20.263,-21.083,-30.216
