NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-14.962,-10.671,-3.2061,3.0175,7.8855,14.334,17.023,15.895,12.873,4.9092,0.47174,-7.2729
2007,-14.056,-14.214,-2.9103,4.3882,9.6411,13.846,15.679,17.975,13.608,7.4369,-1.5437,-10.949
2008,-15.003,-9.9432,-2.4984,5.0402,11.319,15.086,16.92,16.704,12.85,4.5076,-2.853,-8.51
2009,-13.197,-9.9701,-2.5876,-0.56403,7.7755,16.122,17.954,17.018,11.943,6.5303,-2.1999,-7.8825
2010,-10.098,-6.4986,-1.6335,0.8653,9.7867,13.008,16.779,17.712,11.073,6.4519,-2.8516,-12.241
2011,-10.419,-6.5046,-2.011,1.4801,10.216,17.314,16.935,18.684,14.73,2.6338,-1.2684,-8.9867
2012,-11.582,-11.678,-8.8421,1.0768,9.6307,14.384,16.574,15.616,11.362,6.6959,1.7556,-11.224
2013,-14.425,-8.2844,-6.8667,-0.12714,10.267,13.11,17.956,16.08,11.242,8.6987,-3.7722,-11.251
2014,-12.785,-9.1544,-4.5234,3.2455,11.247,16.639,16.378,15.722,9.8055,6.6953,-2.7663,-4.9409
2015,-12.465,-6.1397,1.0494,2.7245,8.0716,16.295,18.426,15.403,13.037,5.1766,-1.0445,-8.4644
2016,-13.522,-9.1819,-1.1225,5.7614,7.939,16.152,16.261,13.648,12.529,4.6626,1.2927,-3.3577
2017,-10.403,-10.878,0.68884,4.2866,7.7224,15.706,20.328,18.464,13.697,7.924,1.9808,-5.4805
2018,-12.632,-4.3318,-1.2875,3.5092,8.5277,17.163,17.176,20.019,13.383,3.9201,-1.447,-3.0797
2019,-11.249,-7.5997,-5.9525,2.4509,11.663,17.064,17.235,15.411,13.456,7.6006,-0.2518,-8.0579
2020,-15.703,-7.6322,-4.1601,3.8175,12.601,19.335,20.34,16.15,14.601,5.3167,-2.3481,-8.0986
2021,-14.15,-12.718,-1.973,4.7676,12.534,15.468,18.311,16.248,13.132,3.6087,-2.0393,-11.606
2022,-15.383,-9.5961,-1.0665,5.5458,7.3562,14.363,16.06,17.24,14.267,2.983,-0.5542,-5.5492
2023,-11.676,-16.076,-0.93616,5.5566,10.321,14.64,16.808,18.058,13.045,5.2215,-0.87805,-9.093
2024,-14.235,-8.5612,-4.5544,1.3224,8.8206,14.518,19.57,18.352,11.008,4.1212,0.15622,-9.9919
2025,-11.78,-9.1082,-5.4963,4.2136,13.284,15.543,19.055,15.907,9.5999,3.7087,-1.3358,-8.6742
2026,-14.415,-8.6,-1.6442,5.4216,11.875,16.208,17.738,17.878,11.924,4.8018,-1.5632,-6.5576
2027,-12.462,-11.608,-3.8835,4.2867,8.1912,14.401,17.938,18.27,13.537,6.6625,-0.71869,-9.5847
2028,-13.615,-10.53,-2.9219,4.5193,13.437,16.955,18.045,16.37,12.745,7.3664,0.96973,-7.4798
2029,-16.175,-11.014,-1.3124,6.5391,10.839,15.787,21.096,18.889,14.054,7.8392,1.7661,-5.2531
2030,-9.6971,-8.979,-4.2824,7.5354,11.875,17.365,20.954,18.525,16.282,6.337,-3.171,-6.6609
2031,-10.005,-9.7811,0.13763,5.7207,8.7208,14.05,18.131,18.612,13.364,6.0533,-4.5244,-8.2874
2032,-12.942,-11.569,-4.5664,5.6287,11.427,15.2,20.425,18.353,11.914,8.3274,-0.27454,-6.804
2033,-15.914,-11.376,-2.7502,2.3799,10.133,16.857,16.802,18.716,12.59,5.4708,-0.13849,-6.5321
2034,-15.403,-5.4524,-3.2322,4.5361,10.501,19.105,18.119,17.617,11.042,6.276,1.8934,-6.5757
2035,-10.899,-5.7712,-2.2856,6.399,11.044,14.628,17.84,18.548,11.867,5.9475,0.13611,-8.8965
2036,-8.1101,-11.828,-4.1831,3.0314,9.7205,16.939,19.687,18.979,12.186,6.1841,-0.55176,-5.2231
2037,-9.2029,-10.5,-0.90582,3.1724,8.7359,14.25,17.481,15.674,10.632,8.7717,-3.4175,-7.6492
2038,-11.459,-7.8856,1.4889,4.6589,11.871,14.574,19.835,20.623,16.8,7.2538,-0.10739,-8.4144
2039,-11.127,-7.899,-2.5577,3.3575,11.305,16.149,17.525,18.509,15.031,4.2651,1.7962,-3.8106
2040,-11.225,-9.0289,-5.8442,4.1224,14.742,19.527,20.08,20.057,17.486,7.1279,-1.5174,-7.1472
2041,-11.737,-9.1397,-6.3326,4.0502,12.117,13.595,19.258,18.714,13.837,7.9143,-0.87042,-6.2845
2042,-8.4951,-9.8021,-9.2149,3.9333,9.3452,13.425,18.918,18.535,17.431,5.7706,2.5103,-4.3422
2043,-7.429,-8.6808,-2.1367,4.7987,8.7913,17.724,21.162,19.767,13.499,2.2375,-0.18115,-7.7855
2044,-9.7496,-8.124,-0.31714,7.3166,8.8515,13.641,20.233,20.718,14.036,6.2539,2.5221,-10.441
