NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-11.733,-9.7018,-17.423,-1.9376,6.4949,10.048,15.83,12.471,5.6718,3.4737,-3.8095,-12.373
2007,-16.052,-18.949,-15.684,-2.4126,6.4399,11.315,13.102,11.416,7.9892,-0.33655,-10.698,-18.121
2008,-25.256,-20.5,-9.2972,-4.3934,7.4852,13.076,13.567,11.055,7.4284,-1.3264,-9.4194,-13.151
2009,-12.978,-20.79,-8.6482,-1.6168,6.3848,12.652,14.025,12.912,8.7442,2.0362,-9.6003,-15.463
2010,-13.166,-17.448,-12.44,0.050842,6.939,11.878,13.933,11.392,8.6041,2.3269,-6.6035,-7.2899
2011,-19.023,-23.264,-14.372,-0.82266,6.1909,12.39,12.74,10.914,7.2089,-0.12793,-6.4754,-16.711
2012,-16.633,-16.705,-14.229,-4.017,8.5975,11.851,13.523,10.934,7.9093,2.1431,-10.133,-26.66
2013,-16.7,-17.298,-5.5308,0.13068,6.2398,11.019,12.909,11.776,7.9272,-2.7271,-12.952,-13.131
2014,-6.1603,-13.799,-0.36908,3.7455,8.7468,11.87,15.212,12.666,9.2137,1.2421,-5.2585,-10.097
2015,-14.894,-17.706,-8.8549,3.2812,9.2532,11.908,16.571,15.881,7.373,1.7781,-8.2847,-19.199
2016,-19.662,-12.592,-6.7378,-1.9047,7.9331,14.71,14.129,12.283,7.5813,1.5551,-9.9046,-15.836
2017,-16.918,-18.378,-3.0494,0.90771,6.7966,12.647,17.835,14.001,7.9349,2.6134,-4.3961,-17.268
2018,-10.771,-26.264,-9.4769,1.7182,8.2289,11.243,13.91,12.314,6.2794,3.6076,-5.1911,-5.9507
2019,-16.276,-23.584,-11.779,-1.5257,6.7446,10.082,14.693,11.5,7.6082,2.4385,-3.4354,-12.57
2020,-21.865,-18.243,-5.7109,0.85657,9.6516,12.272,14.852,14.129,7.302,0.43774,-4.7094,-10.255
2021,-15.32,-8.4411,-1.016,2.9922,10.868,12.675,14.561,15.273,9.802,-1.4811,-5.5315,-11.248
2022,-15.366,-16.149,-8.7794,-1.3839,6.8777,14.09,15.905,11.293,7.2339,-0.94861,-7.0132,-20.959
2023,-22.211,-21.234,-12.631,0.57809,6.2268,11.479,14.8,14.805,6.5919,2.0281,-4.4933,-18.282
2024,-20.623,-18.005,-3.2478,-1.8611,5.8714,11.457,14.765,11.684,8.9418,-2.9941,-10.34,-23.222
2025,-20.17,-12.819,-2.2951,3.5652,9.6937,13.44,16.107,12.29,3.4749,1.4646,-18.14,-11.582
2026,-15.173,-15.829,-10.875,-2.6057,8.6411,14.974,16.383,11.62,8.7091,2.8799,-2.6062,-21.897
2027,-16.675,-12.041,-4.5885,1.0875,8.3064,12.601,14.11,13.098,8.3081,-0.68512,-10.09,-20.503
2028,-20.162,-17.188,-6.8809,1.4158,8.2477,12.472,14.05,11.826,7.2408,-1.6473,-8.2295,-12.54
2029,-14.334,-23.188,-10.836,2.6211,8.2336,10.553,12.436,11.891,7.345,-0.32483,-14.234,-14.747
2030,-18.998,-26.206,-9.7668,-1.1248,6.6093,10.353,12.071,12.462,4.9026,-0.030151,-15.917,-13.042
2031,-13.997,-10.892,-12.954,-4.5762,7.381,11.449,13.581,13.213,7.0789,0.85999,-11.386,-9.1838
2032,-18.971,-24.799,-9.1719,-0.31665,10.564,13.723,13.572,11.321,8.7849,-2.7917,-7.1671,-12.935
