NaN,1,2,3,4,5,6,7,8,9,10,11,12
2056,-21.523,-24.962,-14.619,-6.8661,1.893,8.4184,15.014,12.525,2.2562,-2.4955,-15.131,-19.088
2057,-19.12,-27.618,-17.033,-9.4068,-0.95532,7.3788,15.548,12.512,3.1815,-1.8824,-11.186,-18.594
2058,-19.843,-28.81,-20.112,-6.2662,0.33612,9.2885,15.136,9.9429,3.7982,-2.8909,-10.257,-22.914
2059,-21.267,-22.85,-16.242,-7.7197,1.5423,8.3434,13.89,8.4289,2.1805,-3.4498,-13.726,-16.237
2060,-22.411,-24.512,-21.549,-4.5366,4.6683,10.157,14.604,9.9025,3.5399,-4.0809,-14.212,-24.425
2061,-22.058,-27.57,-19.211,-9.763,1.726,13.7,16.805,10.451,3.0779,0.57507,-10.859,-15.217
2062,-24.897,-29.056,-19.92,-6.1003,2.6891,12.561,18.379,19.535,10.596,-0.13062,-9.7068,-19.129
2063,-17.974,-15.822,-14.698,-5.5984,4.2015,9.8391,12.379,13.128,5.3185,-5.9453,-8.9891,-17.752
2064,-19.802,-17.729,-22.607,-3.2808,3.862,14.034,19.305,11.531,4.0621,-2.7899,-12.36,-16.916
2065,-23.073,-25.363,-17.255,-6.4026,2.1036,11.048,16.53,15.465,4.4743,-2.2952,-10.48,-19.139
2066,-25.235,-18.924,-19.208,-3.9743,5.9585,14.546,11.758,12.449,7.8465,-1.0708,-12.155,-19.524
2067,-27.993,-25.777,-20.314,-7.2251,5.9521,13.689,13.085,12.646,5.4562,-0.95837,-10.549,-16.895
2068,-23.2,-22.34,-17.656,-6.5114,7.0905,12.333,15.777,12.523,5.7132,-4.9142,-9.2717,-17.756
2069,-21.66,-22.297,-15.293,-8.9702,0.1557,10.962,17.805,11.985,7.0034,-0.91602,-5.6133,-16.484
2070,-23.264,-27.359,-13.478,-3.6153,3.9023,13.84,13.57,10.282,4.2177,-3.6996,-12.807,-16.73
2071,-27.39,-21.214,-15.337,-5.2871,7.8072,15.864,16.69,12.587,4.603,-1.2853,-10.44,-13.859
2072,-27.55,-24.77,-17.81,-8.8571,2.3128,15.629,16.746,16.176,5.3896,0.37512,-7.4065,-17.143
2073,-14.22,-23.774,-17.487,-6.7953,2.6223,16.422,22.097,15.407,4.6332,-0.89896,-10.155,-18.311
2074,-22.676,-15.779,-19.099,-7.9027,4.3776,10.57,11.667,10.994,4.4622,-6.0193,-8.7035,-17.161
2075,-22.966,-22.964,-18.033,-7.2267,4.484,14.62,18.6,16.719,7.1983,-0.41165,-9.6907,-13.904
2076,-23.87,-20.91,-16.452,-2.5423,6.5576,14.894,20.261,11.62,6.1468,0.60327,-4.1282,-16.063
2077,-23.728,-17.537,-18.72,-5.5817,2.501,10.514,12.779,9.4054,6.6817,-1.0447,-10.865,-14.242
2078,-21.174,-20.202,-17.662,-5.8087,2.4582,12.159,16.464,13.917,8.1231,-3.6311,-11.271,-14.906
2079,-23.841,-21.602,-13.44,-7.928,0.94156,12.541,22.152,16.656,5.7466,-2.7305,-9.8461,-16.405
2080,-16.556,-21.854,-11.172,-1.5187,6.7826,15.315,15.322,11.331,6.6573,0.015381,-5.5558,-14.197
2081,-14.891,-13.813,-15.169,-6.9799,4.8998,14.881,21.539,14.145,8.4338,-1.5127,-11.452,-14.212
2082,-22.591,-22.769,-18.09,-3.5691,6.4558,12.521,16.538,12.115,4.0296,-2.7932,-8.2545,-18.097
2083,-22.008,-20.372,-17.063,-4.7116,4.1113,16.566,16.691,13.28,5.2217,-5.053,-4.6926,-16.753
2084,-17.744,-15.983,-13.062,-6.2672,5.7571,13.399,19.456,16.198,5.949,-2.7375,-10,-18.372
2085,-18.4,-19.269,-15.901,-2.0885,4.3067,11.666,15.592,11.421,5.0684,-3.28,-9.8053,-16.309
2086,-26.047,-22.219,-13.82,-3.5183,5.5558,16.068,17.572,14.273,4.2802,0.021606,-9.4096,-17.541
2087,-18.208,-19.629,-16.163,-7.9757,4.825,12.233,15.061,11.176,4.7025,-1.2379,-9.7122,-14.975
2088,-17.253,-22.204,-14.331,-2.9689,4.7825,16.74,17.18,13.695,8.3896,-0.11121,-9.608,-13.196
2089,-19.039,-18.282,-9.8901,-3.23,4.7897,14.317,25.162,16.398,5.8608,-0.30688,-4.257,-12.336
2090,-18.66,-13.697,-13.672,-6.3782,2.5416,14.179,15.498,17.071,6.5009,-3.0143,-2.4517,-17.88
2091,-23.863,-20.13,-14.976,-4.7957,6.3922,16.594,19.813,16.372,5.9073,0.60852,-7.6208,-17.19
2092,-23.181,-16.162,-13.974,-8.5164,5.1346,12.35,23.756,17.469,8.3428,0.14572,-6.8094,-12.312
2093,-14.507,-18.388,-12.023,-1.9054,7.8875,13.713,18.574,13.172,9.0262,1.808,-4.5413,-13.099
2094,-15.304,-15.007,-8.8457,-1.998,8.9848,15.854,22.205,15.244,9.6996,1.5001,-10.878,-12.764
2095,-19.246,-18.76,-17.97,-1.4108,4.9172,14.614,16.59,11.48,6.9976,-2.8198,-8.9474,-11.029
2096,-22.545,-23.438,-15.07,-3.4635,6.7845,13.976,16.701,12.928,7.0466,-1.1201,-5.9047,-12.933
2097,-15.773,-21.214,-15.469,-4.9211,8.5161,18.149,17.234,17.894,6.3564,0.26825,-6.6146,-11.92
2098,-16.925,-17.007,-17.335,-7.1772,4.8932,13.806,20.973,13.762,5.7951,0.11786,-7.9972,-10.484
2099,-13.553,-20.892,-14.524,-4.3624,5.2366,16.265,21.888,11.636,4.2464,0.23325,-4.5843,-13.246
2100,-16.534,-15.641,-16.236,-6.423,6.4941,17.189,19.088,10.273,5.878,-1.8016,-9.3433,-14.133
