NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-10.401,-8.1354,-2.2295,4.5839,10.749,14.837,17.67,16.082,12.336,7.1553,0.93073,-4.7026
2007,-10.957,-10.474,-1.1584,3.6733,11.403,14.813,16.6,18.318,14.268,10.013,5.1047,-3.9253
2008,-9.0923,-8.91,-0.93591,6.3546,10.247,16.148,19.637,16.94,13.561,6.3455,-0.2612,-5.2776
2009,-7.5719,-6.9974,1.5881,1.4067,9.6426,15.929,18.966,17.934,14.18,6.3995,0.71417,-6.32
2010,-6.2519,-0.20758,1.2884,3.0723,10.679,16.71,19.105,17.576,12.965,8.1082,-0.56641,-6.4989
2011,-6.2026,-3.3796,-0.22189,4.8375,11.828,16.905,19.342,19.604,14.633,7.0557,1.7375,-3.8539
2012,-6.6893,-4.2797,-4.3128,2.8932,9.4276,16.833,18.633,17.536,13.31,8.1685,6.0309,-3.281
2013,-8.9661,-4.8625,-3.2261,4.0779,12.808,13.753,17.815,17.565,13.447,9.2592,0.21216,-6.3717
2014,-7.7384,1.2948,0.15826,5.4955,12.046,14.614,16.266,16.629,12.128,8.8456,1.468,-1.9936
2015,-5.4315,-3.296,1.6569,5.0898,9.3138,15.348,18.127,16.692,13.99,7.0984,1.9457,-5.6284
2016,-9.1233,-6.9788,0.08255,7.8571,11.14,17.958,18.736,14.371,14.517,6.9751,4.3434,-1.7327
2017,-3.5727,-5.5127,1.7943,8.644,10.609,14.981,19.871,18.374,14.808,10,2.723,-3.4297
2018,-5.9134,-1.2967,2.15,3.8549,9.9749,16.905,18.856,19.609,16.238,9.0178,2.1409,-0.74371
2019,-3.5984,-0.76373,-0.62637,6.2712,12.727,18.17,17.769,17.866,16.048,11.036,3.0119,-1.8059
2020,-8.2163,-4.5072,0.42584,5.4698,11.925,19.673,20.088,17.094,14.271,6.7053,1.0757,-5.2548
2021,-11.01,-6.3844,-0.05896,5.4453,13.366,16.644,19.082,18.31,15.62,6.6986,2.1169,-5.3832
2022,-10.348,-6.0277,1.7557,7.5829,9.1707,14.89,18.259,17.123,15.257,7.8854,2.0161,-2.3402
2023,-5.1546,-11.343,0.92322,7.0019,11.979,15.993,17.441,19.265,15.289,7.7527,0.96765,-1.9465
2024,-7.0373,-1.9147,0.033447,4.8127,10.446,12.569,19.969,18.221,15.055,6.793,4.6113,-6.5739
2025,-6.9554,-1.7976,0.50568,3.364,11.137,16.571,20.293,17.452,10.662,7.0857,2.3575,-6.0434
2026,-6.5593,-6.7836,-0.90393,4.1579,11.831,15.079,17.597,17.87,13.262,7.2198,-0.86401,-2.8896
2027,-6.9877,-5.5685,0.89584,6.4,9.949,13.382,19.196,17.901,13.429,9.809,1.7813,-4.1199
2028,-8.1404,-6.2,-0.10162,4.826,12.978,19.81,19.556,18.285,12.19,8.298,3.4795,-2.4935
2029,-9.5172,-8.5843,-0.40033,5.3477,12.171,15.975,19.04,18.977,14.243,9.4545,4.2134,-1.9269
2030,-5.6014,-3.9927,-1.0187,7.1292,11.033,18.007,19.401,18.927,18.086,8.923,-0.030365,-3.4051
2031,-4.7937,-4.4745,1.5712,6.1328,10.317,15.433,19.278,20.026,15.702,8.6237,2.5928,-3.8674
2032,-8.9266,-8.1471,1.123,7.4783,12.267,13.518,19.744,17.478,12.799,9.552,2.163,-1.6633
2033,-9.2148,-5.4598,0.2186,7.3174,9.7014,14.724,19.712,18.398,15.273,7.6232,3.2033,-3.0789
2034,-9.5885,-2.8001,1.8615,6.0634,11.917,18.472,20.256,18.668,13.841,8.8542,3.3406,-2.7535
2035,-7.0264,-3.1306,2.6343,6.1334,11.394,17.669,19.268,20.053,14.918,8.4748,1.5912,-6.4258
2036,-4.4597,-6.9586,-0.22217,3.1349,10.672,17.414,20.173,16.766,13.166,8.7387,2.5713,-0.83051
2037,-2.4881,-5.1543,0.37738,4.524,9.4077,15.844,20.436,17.319,15.837,9.3517,1.3853,-4.7645
2038,-6.8516,-4.1668,4.2994,6.3679,13.461,16.597,19.972,21.829,17.354,11.439,3.1055,-1.5218
2039,-4.988,-2.7896,0.6532,6.2794,11.043,16.651,18.035,20.064,15.631,6.978,4.7064,-0.1153
2040,-4.2038,-3.1949,-0.35986,4.2493,12.728,18.404,20.384,21.51,17.484,11.233,2.4416,-4.407
2041,-3.7602,-3.7823,1.1635,6.4311,12.556,16.726,21.393,20.337,15.445,9.5413,2.862,-3.1595
2042,-3.9951,-5.8549,-4.6095,4.7302,12.078,16.396,19.42,19.493,18.646,8.4034,3.8814,-2.811
2043,-1.6751,-4.4777,1.8614,7.3397,9.4085,18.161,22.418,19.663,17.83,6.5441,2.7524,-3.1741
2044,-5.5817,-2.8037,2.8333,7.4944,9.9531,17.268,21.161,19.78,16.298,9.375,5.733,-3.7282
2045,-4.9691,-2.7217,0.92242,7.6707,10.951,17.27,20.161,19.604,16.62,9.1363,3.7783,-4.0264
2046,-8.3856,-7.397,-2.1733,6.1762,11.523,16.52,19.984,18.927,15.559,9.3355,4.3405,-3.7762
2047,-2.4164,-7.4445,0.0092773,4.0247,10.637,19.217,18.703,21.096,17.271,9.8014,2.2186,-0.68878
2048,-1.1108,-8.4509,1.4751,4.3011,10.033,17.288,20.508,18.829,16.178,11.265,3.9638,-4.041
2049,-7.5806,-3.1833,2.3183,6.9813,14.577,19.062,19.289,20.002,16.624,8.4193,4.3526,-1.9153
2050,-3.7534,-5.033,-0.81552,5.3475,11.727,19.3,20.031,19.831,14.305,8.8017,3.2356,-4.1489
2051,-6.9941,-0.88495,-1.0496,6.0727,11.093,13.894,19.242,20.65,14.966,9.287,0.25113,-1.519
2052,-8.671,-9.5878,0.066254,5.1907,13.091,18.687,21.735,19.631,16.213,10.181,4.2891,-3.944
2053,-5.0792,-4.1978,1.7897,7.0929,10.382,17.183,22.035,19.233,14.835,9.0673,2.6823,-0.1799
2054,-7.0566,-4.7797,0.35645,4.8557,10.762,16.977,21.824,21.661,16.247,7.6788,6.4601,-1.773
2055,-10.206,-4.4487,-0.67328,6.8227,11.9,15.368,21.221,21.189,15.611,10.664,1.9581,0.35925
2056,-2.5994,-5.314,3.149,9.4854,13.25,17.948,21.939,20.484,16.496,11.643,-0.44305,-3.0687
2057,-3.4348,-5.0121,5.7661,9.7924,11.527,16.879,20.214,20.848,18.635,11.254,3.9174,-0.094208
2058,-5.0263,-1.478,0.097107,6.1713,11.988,18.165,20.583,22.126,17.544,10.601,2.8607,-1.1271
2059,-5.3295,-1.7623,2.1097,6.3428,12.806,18.736,20.065,22.048,17.147,9.8334,3.1627,0.1795
2060,-3.6183,0.43744,0.57043,7.5025,10.284,20.194,20.221,18.945,16.952,10.263,2.6241,-1.0188
2061,-2.6904,-3.7184,0.31482,4.2643,11.021,14.493,19.315,20.554,16.638,11.868,4.2565,-1.2995
2062,-4.9319,-4.9912,1.7791,7.5032,12.357,16.917,17.546,20.41,16.595,10.828,1.9045,-1.7111
2063,-4.2944,-2.4237,-0.52979,7.9855,10.086,15.88,21.307,19.49,14.022,11.27,5.2257,-0.047089
2064,-2.4268,-3.0373,2.026,5.8892,13.085,16.714,22.223,21.043,18.752,11.997,5.1435,0.12329
2065,-4.3715,-2.945,3.8546,6.6365,14.393,19.8,23.518,22.618,17.064,11.631,5.147,0.24225
2066,-6.2489,-2.5472,1.9695,7.3831,11.585,17.557,20.027,19.08,17.155,9.896,2.0582,-2.3676
2067,-2.4095,-2.6383,1.7197,5.2104,9.3524,16.652,21.944,21.373,16.626,10.825,5.4271,0.35291
2068,-4.9633,-1.5429,1.555,11.133,14.499,17.079,22.095,19.146,14.83,11.094,2.3943,-0.097961
2069,-0.92133,1.0023,4.5933,11.167,13.089,15.72,21.383,20.968,18.939,9.9844,6.4844,0.48672
2070,-3.9297,-4.8412,2.6899,6.0859,12.549,16.613,22.365,22.069,15.854,14.349,4.1714,-3.9894
2071,-7.5015,-3.1904,3.7195,8.1543,11.34,18.225,24.074,21.107,18.734,9.9061,4.14,1.7464
2072,-2.5009,-6.4512,2.0919,8.5609,13.969,19.241,22.701,23.876,20.985,11.668,6.9236,0.2355
2073,-3.7548,0.66583,1.2902,8.4821,15.335,18.546,23.228,23.557,17.991,12.449,5.2009,1.7283
2074,-4.4244,-4.0445,1.8212,7.2985,11.735,17.109,20.448,19.061,17.941,11.211,2.3219,-3.4265
2075,-5.3682,-3.1478,0.71729,7.1757,14.14,19.88,23.713,22.666,20.017,10.448,3.6393,0.63071
2076,-2.4115,-2.334,3.5289,10.358,14.884,19.757,23.028,22.251,16.748,11.994,6.1413,0.36652
2077,-5.6638,-3.5856,1.7762,5.9867,13.009,19.979,22.174,21.993,16.924,9.8068,1.9478,-0.30212
2078,-3.5416,-4.1957,2.4924,8.9863,12.109,21.091,20.347,22.114,16.307,10.812,4.7896,0.3418
2079,-2.9406,-0.63879,2.824,8.3181,11.152,16.973,20.861,22.81,17.444,11.896,7.0562,1.2203
2080,0.55554,0.1813,2.5608,7.3368,11.29,19.616,22.949,22.308,19.581,13.972,4.4051,-3.0879
