NaN,1,2,3,4,5,6,7,8,9,10,11,12
2081,-1.1454,1.6989,3.5034,9.4908,16.074,18.538,20.578,20.086,18.967,10.845,9.1285,-1.1709
2082,0.26028,-0.80414,-1.4568,9.2063,13.012,20.453,24.525,24.007,17.735,10.187,5.7904,0.4205
2083,-1.5807,-2.556,0.38992,9.5735,10.348,19.257,23.214,21.497,19.173,12.052,8.5438,-1.9127
2084,-5.1948,-1.6388,2.7256,8.2113,14.138,19.179,21.583,18.681,17.201,9.4324,4.1934,0.76465
2085,-5.2929,-2.1361,4.9833,6.8607,12.379,18.658,23.858,23.417,20.082,11.843,6.8978,0.69867
2086,-3.9374,-2.8855,0.54709,6.5149,12.251,18.533,23.813,21.816,16.132,13.428,4.0963,0.07666
2087,-3.7664,-0.023865,1.2961,10.534,14.009,20.643,24.395,24.047,20.451,11.131,4.8483,0.43472
2088,-2.4323,0.26437,5.8956,8.617,15.21,19.558,23.555,23.115,18.304,11.664,7.8724,2.0751
2089,-1.332,3.0733,2.9341,9.6841,17.258,21.35,22.793,22.675,18.247,12.855,6.6786,0.61319
2090,-1.5276,-2.0051,3.5995,6.9402,13.71,16.976,24.008,21.84,18.001,10.656,5.7651,0.73944
2091,-0.58936,-0.68042,3.633,8.382,14.701,18.937,23.831,23.876,18.69,12.903,6.9163,2.367
2092,1.4988,-0.87088,3.479,8.1985,16.787,22.566,23.426,25.42,20.216,14.595,4.5969,0.021759
2093,0.21411,-1.3531,4.4245,7.9423,17.007,21.157,23.945,21.106,22.194,12.578,8.1833,1.3791
2094,-0.34351,1.9189,4.6719,9.0001,15.907,20.571,22.723,22.691,16.78,10.805,7.8119,2.6965
2095,-4.2328,-1.3852,1.6352,8.056,13.585,16.975,25.944,23.828,17.888,12.469,3.326,0.69592
2096,0.26312,1.1892,6.3572,8.3373,14.4,21.56,24.5,22.661,19.232,10.29,5.3102,-0.15985
2097,0.71344,-1.2159,3.0073,9.4793,16.028,21.989,24.365,25.107,20.323,12.133,2.7311,-2.6465
2098,-1.6921,-1.3646,4.3447,8.2583,13.924,20.045,24.674,27.005,22.281,12.702,9.1806,3.6662
2099,-2.3577,-0.47552,4.9253,7.4813,13.114,19.167,23.961,25.308,19.606,15.227,5.5114,0.76343
2100,-0.38989,-0.72491,2.4532,5.6707,14.344,18.62,22.457,25.752,17.095,13.193,5.7192,0.57172
