NaN,1,2,3,4,5,6,7,8,9,10,11,12
2006,-22.995,-23.346,-16.444,-7.1524,-1.5579,1.3374,4.8809,7.3478,4.9101,0.22366,-5.5771,-18.031
2007,-28.215,-25.173,-17.151,-9.9693,-0.013184,1.858,5.37,8.715,6.5302,0.16931,-3.0046,-9.4253
2008,-18.229,-21.31,-11.92,-4.413,-0.35852,4.3747,7.383,8.934,5.946,1.6775,-3.7924,-12.573
2009,-23.545,-24.89,-15.836,-10.912,0.65631,5.2319,8.7062,9.7444,7.0157,2.0831,-4.9265,-11.142
2010,-19.686,-27.377,-17.969,-8.9277,-2.0258,1.3931,3.3336,7.064,3.5298,-0.15942,-4.1992,-12.067
2011,-20.857,-23.344,-18.325,-6.35,-2.1567,0.74713,5.2519,7.3264,4.0507,0.60645,-6.3016,-12.854
2012,-17.262,-25.211,-20.592,-8.3744,-1.6584,1.7103,4.2382,6.8035,5.8019,1.2076,-3.93,-10.992
2013,-21.775,-22.792,-18.345,-11.276,-1.6216,1.7295,6.4282,6.5764,4.6558,-1.5416,-6.7996,-14.069
2014,-22.381,-23.301,-16.777,-8.4791,-2.0266,0.82855,3.536,6.154,3.8387,-2.463,-3.9616,-7.2827
2015,-18.783,-27.677,-14.976,-6.836,-0.61984,3.1115,8.5941,9.428,7.1387,2.0164,-3.5699,-10.955
2016,-20.895,-21.549,-15.665,-6.7289,-0.13721,1.8511,4.8512,6.8887,7.1379,2.8833,-0.8714,-8.0178
2017,-21.928,-23.446,-17.149,-8.3345,-0.068665,4.5769,8.2983,9.9205,7.2396,1.1623,-1.9254,-6.7383
2018,-19.527,-23.156,-10.272,-6.5572,0.015961,4.2017,7.5784,8.1653,5.3263,0.49631,-6.5934,-9.7261
2019,-18.468,-22.293,-20.656,-8.9222,-0.61676,4.7946,7.9894,7.7934,5.9559,2.7335,-3.7909,-14.728
2020,-19.132,-17.853,-18.838,-8.1454,-2.0047,2.6845,7.4632,8.7227,6.0774,-0.22632,-5.6293,-14.022
2021,-22.822,-26.804,-15.705,-7.959,-1.0856,3.4565,8.5783,10.373,7.4055,1.1986,-4.9593,-10.639
2022,-14.792,-11.813,-13.746,-4.503,-0.61255,2.7752,6.8858,6.4375,4.3062,1.0748,-4.0562,-11.582
2023,-21.061,-21.566,-12.415,-9.6035,-0.46655,2.7783,5.6851,8.1307,3.7755,-0.66718,-3.2648,-7.5305
2024,-18.61,-17.77,-14.314,-6.9568,-1.1345,3.1564,6.5897,9.4788,6.7621,0.058655,-4.9512,-11.42
2025,-17.479,-23.087,-15.35,-8.4583,-0.42349,1.848,6.2891,8.7472,4.9417,1.0408,-3.2245,-11.2
2026,-17.667,-24.235,-18.877,-4.221,-0.63239,2.4286,7.5876,8.7865,5.881,2.085,-4.4148,-7.2548
2027,-9.0346,-19.305,-14.493,-8.6156,-1.0237,5.4658,9.2371,9.8093,5.7553,5.6235,-1.291,-11.005
2028,-17.404,-25.78,-15.545,-7.3069,0.14612,1.3962,5.2496,8.3744,5.8033,1.7277,-4.7529,-8.5638
2029,-19.056,-16.774,-12.432,-9.625,-1.9832,1.3342,6.3601,5.9785,4.8997,0.78259,-2.1909,-7.6378
2030,-17.115,-21.932,-12.05,-6.5505,0.83981,4.0328,9.6437,9.1185,4.5081,1.6749,-2.8253,-10.159
2031,-21.54,-22.258,-12.671,-6.6738,-0.94324,3.8784,8.4692,8.1272,5.8953,1.4459,-4.665,-8.3303
2032,-16.233,-20.337,-12.055,-5.7678,-0.20001,3.354,8.5541,10.331,5.7458,2.6184,-2.0695,-9.3684
2033,-12.934,-21.917,-18.586,-9.1924,-0.80637,1.8509,6.1107,7.4214,4.7598,1.5079,-3.8299,-10.895
2034,-19.12,-23.792,-9.1014,-6.3858,-1.259,3.0114,6.4612,6.8297,5.3724,-0.10092,-3.8586,-10.187
2035,-18.712,-21.244,-12.202,-1.4213,-2.2139,2.1983,6.6978,9.2761,5.2575,0.58029,-4.4752,-13.154
2036,-22.956,-25.351,-16.976,-5.453,-0.62714,2.7086,6.8274,7.8951,6.5783,0.043427,-3.7354,-10.957
2037,-19.367,-21.324,-11.685,-5.5834,-0.79538,1.8403,8.3642,8.2446,4.8076,0.91815,-3.1636,-11.61
2038,-13.107,-21.376,-14.066,-8.4153,-0.14648,1.8259,8.4798,9.1742,6.5066,2.4237,-3.1308,-7.6253
2039,-13.008,-15.827,-16.12,-4.4726,0.70886,5.8232,8.3025,8.8859,4.9393,1.769,-1.6452,-6.9122
2040,-17.329,-21.248,-13.917,-6.1003,0.62106,5.0835,8.5289,11.727,7.4957,3.6083,-1.9178,-8.6648
